niveau;continent;norme_iso_3166;nationalite;refugie;protection_subsidiaire;rejet;cloture;taux_admission;annee;sexe
Nationalite;AFRIQUE;AGO;Angola;64;22;1093;8;0,073;2020;global
Nationalite;AFRIQUE;BDI;Burundi;189;1;233;1;0,449;2020;global
Nationalite;AFRIQUE;BEN;Benin;19;8;76;3;0,262;2020;global
Nationalite;AFRIQUE;BFA;Burkina Faso;38;4;127;4;0,249;2020;global
Nationalite;AFRIQUE;CAF;Centrafrique;151;40;236;8;0,447;2020;global
Nationalite;AFRIQUE;CIV;Cote d'Ivoire;932;139;3765;51;0,221;2020;global
Nationalite;AFRIQUE;CMR;Cameroun;176;47;699;20;0,242;2020;global
Nationalite;AFRIQUE;COD;Rep. Dem. Congo;635;82;2291;21;0,238;2020;global
Nationalite;AFRIQUE;COG;Congo;85;29;600;15;0,16;2020;global
Nationalite;AFRIQUE;COM;Comores;89;9;946;42;0,094;2020;global
Nationalite;AFRIQUE;DJI;Djibouti;6;1;36;1;0,163;2020;global
Nationalite;AFRIQUE;DZA;Algerie;101;47;1836;102;0,075;2020;global
Nationalite;AFRIQUE;EGY;Egypte;28;2;221;12;0,12;2020;global
Nationalite;AFRIQUE;ERI;Erythree;854;1;263;8;0,765;2020;global
Nationalite;AFRIQUE;ETH;Ethiopie;143;6;235;6;0,388;2020;global
Nationalite;AFRIQUE;GAB;Gabon;16;12;121;18;0,188;2020;global
Nationalite;AFRIQUE;GIN;Guinee;1295;111;4598;25;0,234;2020;global
Nationalite;AFRIQUE;GMB;Gambie;24;3;155;2;0,148;2020;global
Nationalite;AFRIQUE;LBY;Libye;64;76;172;7;0,449;2020;global
Nationalite;AFRIQUE;MAR;Maroc;86;19;440;28;0,193;2020;global
Nationalite;AFRIQUE;MDG;Madagascar;5;5;62;8;0,139;2020;global
Nationalite;AFRIQUE;MLI;Mali;309;59;1878;55;0,164;2020;global
Nationalite;AFRIQUE;MRT;Mauritanie;161;1;938;18;0,147;2020;global
Nationalite;AFRIQUE;NGA;Nigeria;106;12;2814;30;0,04;2020;global
Nationalite;AFRIQUE;RWA;Rwanda;119;1;135;5;0,471;2020;global
Nationalite;AFRIQUE;SDN;Soudan;944;60;737;20;0,577;2020;global
Nationalite;AFRIQUE;SEN;Senegal;212;18;1453;18;0,137;2020;global
Nationalite;AFRIQUE;SLE;Sierra Leone;30;0;113;2;0,21;2020;global
Nationalite;AFRIQUE;SOM;Somalie;203;248;1080;12;0,295;2020;global
Nationalite;AFRIQUE;SSD;Soudan du Sud;44;4;9;0;0,842;2020;global
Nationalite;AFRIQUE;TCD;Tchad;69;11;364;14;0,18;2020;global
Nationalite;AFRIQUE;TGO;Togo;23;1;86;2;0,218;2020;global
Nationalite;AFRIQUE;TUN;Tunisie;25;5;308;15;0,089;2020;global
Nationalite;AMERIQUES;COL;Colombie;22;22;262;23;0,144;2020;global
Nationalite;AMERIQUES;CUB;Cuba;30;1;237;1;0,116;2020;global
Nationalite;AMERIQUES;HND;Honduras;1;1;16;0;0,111;2020;global
Nationalite;AMERIQUES;HTI;Haiti;177;156;2949;61;0,101;2020;global
Nationalite;AMERIQUES;PER;Perou;3;8;49;1;0,183;2020;global
Nationalite;AMERIQUES;SLV;Salvador;2;2;15;1;0,211;2020;global
Nationalite;AMERIQUES;VEN;Venezuela;186;33;255;18;0,462;2020;global
Nationalite;ASIE;AFG;Afghanistan;526;4286;2632;93;0,646;2020;global
Nationalite;ASIE;BGD;Bangladesh;224;50;4606;43;0,056;2020;global
Nationalite;ASIE;CHN;Chine;1501;3;499;2;0,751;2020;global
Nationalite;ASIE;IND;Inde;8;1;267;7;0,033;2020;global
Nationalite;ASIE;IRN;Iran;90;1;211;6;0,301;2020;global
Nationalite;ASIE;IRQ;Irak;257;64;407;28;0,441;2020;global
Nationalite;ASIE;KAZ;Kazakhstan;9;5;356;13;0,038;2020;global
Nationalite;ASIE;KWT;Koweit;41;0;221;14;0,156;2020;global
Nationalite;ASIE;LBN;Liban;10;2;104;3;0,103;2020;global
Nationalite;ASIE;LKA;Sri Lanka;180;36;1338;20;0,139;2020;global
Nationalite;ASIE;MNG;Mongolie;11;12;125;8;0,155;2020;global
Nationalite;ASIE;PAK;Pakistan;73;26;2742;44;0,035;2020;global
Nationalite;ASIE;PSE;Palestine (autorite);121;6;58;2;0,686;2020;global
Nationalite;ASIE;SAU;Arabie saoudite;14;0;8;2;0,636;2020;global
Nationalite;ASIE;SYR;Syrie;730;1686;669;44;0,783;2020;global
Nationalite;ASIE;YEM;Yemen;31;30;63;0;0,492;2020;global
Nationalite;EUROPE;ALB;Albanie;65;239;3847;191;0,073;2020;global
Nationalite;EUROPE;ARM;Armenie;36;60;1766;16;0,052;2020;global
Nationalite;EUROPE;AZE;Azerbaidjan;43;1;452;10;0,089;2020;global
Nationalite;EUROPE;BIH;Bosnie-Herzegovine;12;6;775;51;0,023;2020;global
Nationalite;EUROPE;BLR;Bielorussie;8;0;43;6;0,157;2020;global
Nationalite;EUROPE;GEO;Georgie;58;82;3106;76;0,043;2020;global
Nationalite;EUROPE;MKD;Macedoine du Nord (Rep.);1;1;536;86;0,004;2020;global
Nationalite;EUROPE;RUS;Russie;314;69;1870;70;0,17;2020;global
Nationalite;EUROPE;SRB;Serbie;28;16;1185;107;0,036;2020;global
Nationalite;EUROPE;TUR;Turquie;376;14;2142;33;0,154;2020;global
Nationalite;EUROPE;UKR;Ukraine;40;39;993;72;0,074;2020;global
Nationalite;EUROPE;XXK;Kosovo;53;69;1326;64;0,084;2020;global
Nationalite;AFRIQUE;AGO;Angola;90;66;1675;4;0,085;2021;global
Nationalite;AFRIQUE;BDI;Burundi;169;3;348;4;0,331;2021;global
Nationalite;AFRIQUE;BEN;Benin;13;6;100;6;0,16;2021;global
Nationalite;AFRIQUE;BFA;Burkina Faso;52;16;211;6;0,244;2021;global
Nationalite;AFRIQUE;CAF;Centrafrique;284;53;304;8;0,526;2021;global
Nationalite;AFRIQUE;CIV;Cote d'Ivoire;1762;158;5948;48;0,244;2021;global
Nationalite;AFRIQUE;CMR;Cameroun;142;61;705;25;0,224;2021;global
Nationalite;AFRIQUE;COD;Rep. Dem. Congo;1228;181;4473;16;0,24;2021;global
Nationalite;AFRIQUE;COG;Congo;128;17;762;17;0,16;2021;global
Nationalite;AFRIQUE;COM;Comores;169;30;3873;21;0,049;2021;global
Nationalite;AFRIQUE;DJI;Djibouti;47;5;85;9;0,38;2021;global
Nationalite;AFRIQUE;DZA;Algerie;81;59;1850;19;0,07;2021;global
